"ip","port","protocol","anonymity","lastTested","allowsRefererHeader","allowsUserAgentHeader","allowsCustomHeaders","allowsCookies","allowsPost","allowsHttps","country","connectTime","downloadSpeed","secondsToFirstByte","uptime"
"102.68.128.210","8080","http","anonymous","2024-09-21 18:20:15","true","true","true","true","","","ZZ","7.234","29.000","9.006","10.685"
"103.124.139.212","1080","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","true","ZZ","7.416","21.000","12.099","20.784"
"103.156.233.23","3125","http","anonymous","2024-09-21 18:20:34","true","true","true","true","","","ZZ","1.187","11.000","22.956","7.310"
"103.169.187.148","3125","http","anonymous","2024-09-21 18:20:14","true","true","true","true","true","true","ZZ","7.418","28.000","9.047","7.019"
"103.169.189.125","3125","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","ZZ","0.182","31.000","8.530","6.641"
"103.48.68.170","83","http","anonymous","2024-09-21 18:20:18","true","true","true","true","true","true","IN","7.395","26.000","9.760","6.852"
"103.48.68.218","83","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","true","IN","1.174","34.000","7.600","12.896"
"103.48.68.67","84","http","anonymous","2024-09-21 18:20:26","true","true","true","true","true","true","IN","3.190","17.000","14.893","10.811"
"103.48.68.68","84","http","anonymous","2024-09-21 18:20:18","true","true","true","true","true","","IN","0.150","34.000","7.391","9.880"
"103.48.70.161","84","http","anonymous","2024-09-21 18:20:31","true","true","true","true","true","true","IN","3.176","16.000","15.788","4.091"
"103.48.71.34","84","http","anonymous","2024-09-21 18:20:26","true","true","true","true","true","true","IN","1.156","23.000","10.757","7.287"
"141.193.213.0","80","http","anonymous","2024-09-21 18:20:14","true","true","true","true","true","","US","0.040","1658.000","0.127","99.993"
"141.193.213.1","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","US","0.168","1117.000","0.187","99.993"
"141.193.213.10","80","http","anonymous","2024-09-21 18:20:11","true","true","true","true","true","","US","0.199","882.000","0.238","99.991"
"141.193.213.100","80","http","anonymous","2024-09-21 18:20:10","true","true","true","true","true","","US","0.323","558.000","0.376","99.991"
"141.193.213.101","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","US","0.139","1316.000","0.158","99.994"
"141.193.213.102","80","http","anonymous","2024-09-21 18:20:12","true","true","true","true","true","","US","0.155","1179.000","0.178","99.994"
"141.193.213.103","80","http","anonymous","2024-09-21 18:20:14","true","true","true","true","true","","US","0.154","1206.000","0.175","99.992"
"141.193.213.104","80","http","anonymous","2024-09-21 18:20:11","true","true","true","true","true","","US","0.061","1971.000","0.108","99.990"
"141.193.213.105","80","http","anonymous","2024-09-21 18:20:09","true","true","true","true","true","","US","0.054","219.000","0.953","99.995"
"141.193.213.106","80","http","anonymous","2024-09-21 18:20:10","true","true","true","true","true","","US","0.355","320.000","0.655","99.994"
"141.193.213.107","80","http","anonymous","2024-09-21 18:20:13","true","true","true","true","true","","US","0.129","1296.000","0.163","99.994"
"141.193.213.108","80","http","anonymous","2024-09-21 18:20:14","true","true","true","true","true","","US","0.210","878.000","0.238","99.991"
"141.193.213.109","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","US","0.223","856.000","0.245","99.991"
"141.193.213.11","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","US","0.041","3525.000","0.060","99.991"
"141.193.213.110","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","US","0.047","2132.000","0.098","99.991"
"141.193.213.111","80","http","anonymous","2024-09-21 18:20:13","true","true","true","true","true","","US","0.155","1180.000","0.177","99.995"
"141.193.213.112","80","http","anonymous","2024-09-21 18:20:12","true","true","true","true","true","","US","0.036","3333.000","0.063","99.994"
"141.193.213.113","80","http","anonymous","2024-09-21 18:20:12","true","true","true","true","true","","US","0.381","390.000","0.540","99.991"
"141.193.213.114","80","http","anonymous","2024-09-21 18:20:14","true","true","true","true","true","","US","0.354","557.000","0.377","99.992"
"141.193.213.115","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","US","0.522","377.000","0.554","99.994"
"141.193.213.116","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","US","0.293","645.000","0.324","99.991"
"141.193.213.117","80","http","anonymous","2024-09-21 18:20:11","true","true","true","true","true","","US","0.213","901.000","0.233","99.993"
"141.193.213.118","80","http","anonymous","2024-09-21 18:20:10","true","true","true","true","true","","US","0.002","1685.000","0.124","99.992"
"141.193.213.119","80","http","anonymous","2024-09-21 18:20:11","true","true","true","true","true","","US","0.322","166.000","1.258","99.994"
"141.193.213.12","80","http","anonymous","2024-09-21 18:20:14","true","true","true","true","true","","US","0.243","742.000","0.283","99.991"
"141.193.213.120","80","http","anonymous","2024-09-21 18:20:11","true","true","true","true","true","","US","0.205","912.000","0.229","99.991"
"141.193.213.121","80","http","anonymous","2024-09-21 18:20:09","true","true","true","true","true","","US","0.117","1536.000","0.137","99.993"
"141.193.213.122","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","US","0.033","4200.000","0.051","99.995"
"141.193.213.123","80","http","anonymous","2024-09-21 18:20:13","true","true","true","true","true","","US","0.024","4375.000","0.049","99.992"
"141.193.213.124","80","http","anonymous","2024-09-21 18:20:10","true","true","true","true","true","","US","0.384","241.000","0.871","99.992"
"141.193.213.125","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","US","0.113","1595.000","0.131","99.994"
"141.193.213.126","80","http","anonymous","2024-09-21 18:20:10","true","true","true","true","true","","US","0.276","668.000","0.314","99.993"
"141.193.213.127","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","US","0.077","1794.000","0.117","99.994"
"141.193.213.128","80","http","anonymous","2024-09-21 18:20:10","true","true","true","true","true","","US","0.127","409.000","0.513","99.992"
"141.193.213.129","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","US","0.208","937.000","0.224","99.992"
"141.193.213.13","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","US","0.076","676.000","0.310","99.991"
"141.193.213.130","80","http","anonymous","2024-09-21 18:20:14","true","true","true","true","true","","US","0.072","1354.000","0.155","99.991"
"141.193.213.131","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","US","0.215","830.000","0.253","99.994"
"141.193.213.132","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","US","0.171","1039.000","0.202","99.991"
"141.193.213.133","80","http","anonymous","2024-09-21 18:20:10","true","true","true","true","true","","US","0.318","587.000","0.349","99.988"
"141.193.213.134","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","US","0.035","3044.000","0.068","99.989"
"141.193.213.135","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","US","0.074","2166.000","0.096","99.994"
"141.193.213.136","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","US","0.016","300.000","0.700","99.989"
"141.193.213.137","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","US","0.193","313.000","0.667","99.991"
"141.193.213.138","80","http","anonymous","2024-09-21 18:20:09","true","true","true","true","true","","US","0.234","343.000","0.612","99.995"
"141.193.213.139","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","US","0.250","604.000","0.346","99.991"
"141.193.213.14","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","US","0.013","1188.000","0.175","99.992"
"141.193.213.140","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","US","0.012","4468.000","0.048","99.992"
"141.193.213.141","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","US","0.177","1089.000","0.192","99.991"
"141.193.213.142","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","US","0.218","328.000","0.637","99.991"
"141.193.213.143","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","US","0.164","484.000","0.430","99.993"
"141.193.213.144","80","http","anonymous","2024-09-21 18:20:10","true","true","true","true","true","","US","0.008","3333.000","0.063","99.992"
"141.193.213.145","80","http","anonymous","2024-09-21 18:20:14","true","true","true","true","true","","US","0.074","2121.000","0.100","99.990"
"141.193.213.146","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","US","0.026","4375.000","0.048","99.992"
"141.193.213.147","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","US","0.174","921.000","0.229","99.992"
"141.193.213.148","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","US","0.596","326.000","0.644","99.991"
"141.193.213.149","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","US","0.232","833.000","0.253","99.994"
"141.193.213.15","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","US","0.101","1727.000","0.121","99.994"
"141.193.213.150","80","http","anonymous","2024-09-21 18:20:11","true","true","true","true","true","","US","0.599","337.000","0.619","99.994"
"141.193.213.151","80","http","anonymous","2024-09-21 18:20:13","true","true","true","true","true","","US","0.074","1962.000","0.108","99.992"
"141.193.213.152","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","US","0.274","598.000","0.349","99.992"
"141.193.213.153","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","US","0.484","406.000","0.518","99.991"
"141.193.213.154","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","US","0.392","446.000","0.469","99.993"
"141.193.213.155","80","http","anonymous","2024-09-21 18:20:10","true","true","true","true","true","","US","0.123","1428.000","0.147","99.992"
"141.193.213.156","80","http","anonymous","2024-09-21 18:20:10","true","true","true","true","true","","US","0.202","941.000","0.223","99.993"
"141.193.213.157","80","http","anonymous","2024-09-21 18:20:14","true","true","true","true","true","","US","0.265","507.000","0.412","99.995"
"141.193.213.158","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","US","0.027","3387.000","0.062","99.994"
"141.193.213.159","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","US","0.162","1050.000","0.195","99.994"
"141.193.213.16","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","US","0.057","720.000","0.291","99.992"
"141.193.213.160","80","http","anonymous","2024-09-21 18:20:09","true","true","true","true","true","","US","0.003","2413.000","0.087","99.993"
"141.193.213.161","80","http","anonymous","2024-09-21 18:20:10","true","true","true","true","true","","US","0.214","384.000","0.544","99.994"
